Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
PacifiCorp Energy - Chehalis Generation Facility - Chehalis,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,694176,0,693471,322,383,0,0,0,0,,3,"(46.6226, -122.9145)",POINT (-122.91449999999999 46.6226)
Lamb Weston - Connell,2015,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,36801,0,36763,17,21,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
U.S. Oil & Refining Co.,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Par Pacific,,,,1288944,0,1288944,,,,,,,,,,
CityServiceValcon LLC,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"CityServiceValcon, LLC",,,,358213,17373,340840,,,,,,,,,,
"Emerald Kalama Chemical, LLC - Kalama",2012,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Emerald Performance Materials LLC,Kalama,Cowlitz,Southwest Clean Air Agency,83027,0,82947,35,46,0,0,0,0,,2,"(46.02191, -122.85698)",POINT (-122.85697999999998 46.02191)
Lamb Weston - Richland,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,34603,0,34567,16,19,0,0,0,0,,2,"(46.309314, -119.297267)",POINT (-119.29726700000002 46.309314)
BP Cherry Point Refinery - Blaine,2012,Refineries,Petroleum Refineries,324110,Petroleum Refineries,BP America Inc.,Blaine,Whatcom,Northwest Clean Air Agency,2223518,0,2203241,15571,4707,0,0,0,0,,5,"(48.8864, -122.7353)",POINT (-122.7353 48.8864)
Ascent Aviation Group Inc,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Inc.",,,,49271,0,49271,,,,,,,,,,
REG Grays Harbor LLC - Hoquiam,2015,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Renewable Energy Group Inc.,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,13806,0,13792,7,8,0,0,0,0,,1,"(46.968196, -123.853622)",POINT (-123.853622 46.968196)
CertainTeed Gypsum - Seattle,2013,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,35465,0,35428,17,20,0,0,0,0,,2,"(47.548056, -122.336944)",POINT (-122.336944 47.548056)
U.S. Department of Energy Hanford Site - Richland,2017,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14744,0,5157,9523,8,0,0,57,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Lamb Weston - Quincy,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,36584,0,36544,18,22,0,0,0,0,,2,"(47.234413, -119.869914)",POINT (-119.869914 47.234413)
The Boeing Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,,,,107661,0,107661,,,,,,,,,,
Roosevelt Regional Landfill - Roosevelt,2012,Waste,Municipal Landfills,562212,Solid Waste Landfill,"Republic Services, Inc.",Roosevelt,Klickitat,Ecology: Central Regional Office,270943,0,304,270638,1,0,0,0,0,,3,"(45.807146, -120.179785)",POINT (-120.179785 45.807146)
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2018,Waste,Municipal Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,32498,0,0,32498,0,0,0,0,0,,2,"(47.405083, -120.167444)",POINT (-120.167444 47.405083)
U.S. Department of Energy Hanford Site - Richland,2013,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14615,0,4297,10313,5,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Northwest Pipeline Willard C/S - Cook,2017,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,9287,0,7707,1575,4,0,0,0,0,,1,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Cheyne Landfill - Zillah,2019,Waste,Municipal Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Zillah,Yakima,Yakima Regional Clean Air Agency,40508,0,0,40508,0,0,0,0,0,,2,"(46.4785, -120.2688)",POINT (-120.26880000000001 46.478500000000004)
Northwest Pipeline C/S - Sumner,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,The Williams Companies Inc.,Sumner,Pierce,Puget Sound Clean Air Agency,18379,0,17236,1133,10,0,0,0,0,,1,"(47.228986, -122.209551)",POINT (-122.20955100000002 47.228986)
Terrace Heights Landfill - Yakima,2017,Waste,Municipal Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,114513,0,20,114494,0,0,0,0,0,,3,"(46.610031, -120.39408)",POINT (-120.39407999999999 46.610031000000006)
Ardagh Glass Inc. - Seattle,2018,Minerals,Glass Production,327213,Glass Container Manufacturing,Ardagh Holdings USA Inc.,Seattle,King,Puget Sound Clean Air Agency,76476,0,76415,28,33,0,0,0,0,,2,"(47.55242, -122.33739)",POINT (-122.33739000000001 47.552420000000005)
Ascensus Specialties LLC - Elma,2016,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,20802,0,20780,10,12,0,0,0,0,,1,"(46.995459, -123.382316)",POINT (-123.382316 46.995459)
"Rainier Veneer, Inc. - Spanaway",2019,Wood Products,Engineered Wood,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,14399,12519,1712,25,144,0,0,0,0,,1,"(47.062059, -122.318981)",POINT (-122.318981 47.062059)
Star Forge LLC dba Jorgensen Forge - Tukwila,2014,Metals,Iron and Steel Production,332111,Iron and Steel Forging,Jorgensen Forge Corp.,Tukwila,King,Puget Sound Clean Air Agency,13850,0,13836,7,8,0,0,0,0,,1,"(47.526872, -122.303906)",POINT (-122.303906 47.526872)
TransAlta Centralia Generation LLC - Centralia,2015,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,5665101,0,5619677,16615,28808,0,0,0,0,,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
McCain Foods - Othello,2014,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",McCain Foods USA Inc.,Othello,Adams,Ecology: Eastern Regional Office,95228,0,36001,59206,20,0,0,0,0,,2,"(46.840102, -119.172705)",POINT (-119.17270500000001 46.840102)
Darigold - Lynden,2017,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,17624,0,17606,9,10,0,0,0,0,,1,"(48.947567, -122.451915)",POINT (-122.451915 48.947567)
"Solvay Chemicals, Inc. - Longview",2012,Chemicals,Hydrogen Production,325188,All Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,47983,0,47983,0,0,0,0,0,0,,2,"(46.137218, -122.982847)",POINT (-122.98284700000002 46.137218)
Cardinal FG Company - Winlock,2016,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,107291,0,107215,35,41,0,0,0,0,,3,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
Northwest Pipeline C/S - Chehalis,2013,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,8637,0,7376,1257,4,0,0,0,0,,1,"(46.533325, -122.87373)",POINT (-122.87373000000001 46.533325)
Spectrum Glass Company - Woodinville,2014,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,11739,0,11728,5,6,0,0,0,0,,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
United Parcel Service Co,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,UPS Inc.,,,,47767,0,47767,,,,,,,,,,
Kettle Falls Generating Station - Kettle Falls,2019,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,450189,424690,11848,8787,4864,0,0,0,0,,3,"(48.620335, -118.110841)",POINT (-118.110841 48.620335)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2017,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Fabricated Products LLC,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,126365,0,126235,60,71,0,0,0,0,,3,"(47.687074, -117.212673)",POINT (-117.212673 47.687074)
Boeing Commercial Airplanes - Everett,2016,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,76191,0,76112,36,44,0,0,0,0,,2,"(47.918622, -122.276987)",POINT (-122.27698699999999 47.918622)
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,2018,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,19671,0,19651,9,11,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
Hampton Lumber Mills Washington Inc. - Randle,2014,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,56286,55544,0,107,635,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
"Associated Petroleum Products, Inc.",2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,World Fuel Services Company,,,,1990731,65716,1925015,,,,,,,,,,
The Boeing Company: DC/MFC - Tukwila,2012,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,15766,0,15750,8,9,0,0,0,0,,1,"(47.516246, -122.298613)",POINT (-122.29861300000002 47.516246)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2013,Wood Products,Engineered Wood,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,71186,68156,2117,132,781,0,0,0,0,,2,"(48.613175, -118.116106)",POINT (-118.116106 48.613175)
Western Avenue Steam Plant - Seattle,2012,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,Seattle Steam Company LLC,Seattle,King,Puget Sound Clean Air Agency,88838,12338,76152,141,207,0,0,0,0,,2,"(47.6068, -122.340179)",POINT (-122.34017900000002 47.6068)
CHS Inc.,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc,,,,705927,0,705927,,,,,,,,,,
Hampton Lumber Mills Washington Inc. - Morton,2019,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,37806,37308,0,72,427,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
Goodrich Corporation - Spokane,2018,Manufacturing,Transportation,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Goodrich Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,43776,0,43724,22,29,0,0,0,0,,2,"(47.583604, -117.568511)",POINT (-117.568511 47.583604)
United Parcel Service Co,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,UPS Inc.,,,,60499,0,60499,,,,,,,,,,
J.R. Simplot Company - Moses Lake,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,39793,3699,30183,5881,30,0,0,0,0,,2,"(47.131732, -119.18926)",POINT (-119.18926000000002 47.131732)
Seaport Sound Terminal LLC,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,493190,Bulk petroleum storage,"ArcLight Energy Partners Fund VI, L.P.",,,,14527,3411,11116,,,,,,,,,,
Western Avenue Steam Plant - Seattle,2013,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,Seattle Steam Company LLC,Seattle,King,Puget Sound Clean Air Agency,89429,14787,74242,161,239,0,0,0,0,,2,"(47.6068, -122.340179)",POINT (-122.34017900000002 47.6068)
REC Solar Grade Silicon - Moses Lake,2019,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,19947,0,19926,10,11,0,0,0,0,,1,"(47.138359, -119.200383)",POINT (-119.200383 47.138359)
Fairchild AFB - Spokane Co.,2016,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,13586,0,13572,7,8,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2015,Minerals,Glass Production,327213,Glass Container Manufacturing,Owens-Illinois Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,22288,0,22272,7,9,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Hampton Lumber Mills Washington Inc. - Morton,2012,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,36379,35600,0,304,475,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
Roosevelt Regional Landfill - Roosevelt,2018,Waste,Municipal Landfills,562212,Solid Waste Landfill,"Republic Services, Inc.",Roosevelt,Klickitat,Ecology: Central Regional Office,247524,0,214,247310,1,0,0,0,0,,3,"(45.807146, -120.179785)",POINT (-120.179785 45.807146)
Northwest Pipeline C/S - Sumner,2016,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,The Williams Companies Inc.,Sumner,Pierce,Puget Sound Clean Air Agency,46614,0,46043,545,26,0,0,0,0,,2,"(47.228986, -122.209551)",POINT (-122.20955100000002 47.228986)
Nippon Dynawave - Longview,2015,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Weyerhaeuser Co.,Longview,Cowlitz,Ecology: Industrial Section,1502988,1143229,351866,1723,6170,0,0,0,0,Emissions include units that split to become North Pacific Paper Company in 2016.,4,"(46.130495, -122.983637)",POINT (-122.98363700000002 46.130495)
"Rainier Veneer, Inc. - Spanaway",2014,Wood Products,Engineered Wood,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,19578,18728,600,36,215,0,0,0,0,,1,"(47.062059, -122.318981)",POINT (-122.318981 47.062059)
Air Liquide Hydrogen Plant  - Anacortes,2015,Chemicals,Hydrogen Production,325120,Industrial Gas Manufacturing,Air Liquide USA Inc.,Anacortes,Skagit,Northwest Clean Air Agency,64413,0,64413,0,0,0,0,0,0,,2,"(48.465617, -122.556032)",POINT (-122.55603199999999 48.465617)
WestRock LLC - Longview,2012,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Kapstone Paper & Packaging Corp,Longview,Cowlitz,Ecology: Industrial Section,1672806,1451782,187079,11864,22081,0,0,0,0,,4,"(46.10361, -122.92167)",POINT (-122.92167 46.10361)
U.S. Oil & Refining Co. - Tacoma,2016,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,135324,0,134762,553,10,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
"World Fuel Services, Inc.",2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",,,,262127,4796,257331,,,,,,,,,,
J.R. Simplot Company - Othello,2015,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,OTHELLO,Adams,Ecology: Eastern Regional Office,87686,0,45538,42123,26,0,0,0,0,,2,"(46.837778, -119.176389)",POINT (-119.17638900000001 46.837778)
Ascent Aviation Group Inc,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Inc.",,,,15728,0,15728,,,,,,,,,,
Puget Sound Energy - Encogen Generating Station - Bellingham,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Bellingham,Whatcom,Northwest Clean Air Agency,103713,0,103607,48,58,0,0,0,0,,3,"(48.746, -122.486)",POINT (-122.486 48.74600000000001)
University of Washington Seattle Campus - Seattle,2015,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,82430,0,82345,39,46,0,0,0,0,,2,"(47.653614, -122.303608)",POINT (-122.303608 47.653614)
Packaging Corporation of America - Wallula,2016,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,804657,645182,148359,8908,2209,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
"IPC (USA), Inc.",2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ITOCHU Corporation,,,,501,23,478,,,,,,,Last year reporting.,,,
Phillips 66 Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Phillips 66 Company,,,,4416054,218663,4197391,,,,,,,,,,
Kettle Falls Generating Station - Kettle Falls,2013,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,424907,407568,4007,8669,4663,0,0,0,0,,3,"(48.620335, -118.110841)",POINT (-118.110841 48.620335)
Easterday Ranches North Feedlot - Eltopia,2016,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,15384,0,1172,1101,13112,0,0,0,0,,1,"(46.50919, -118.881203)",POINT (-118.88120300000001 46.50919)
Grays Harbor Energy Center - Elma,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Stark Power Generation I Holdings LLC,Elma,Grays Harbor,EFSEC,1170621,0,1169432,542,646,0,0,0,0,,4,"(46.9688, -123.48)",POINT (-123.48 46.9688)
